segment_type,segment_value,row_count,actual_mean_sales,predicted_mean_sales,rmspe,mae,rmse,bias
OpenStatus,closed,6530,0.0,0.0,0.0,0.0,0.0,0.0
OpenStatus,open,40300,6988.730223325062,6594.987188545304,0.15284470837532138,824.089748367039,1268.453741127666,-393.74303477975764
Promo,promo,16725,8436.64639760837,7768.55620829273,0.1461302215287674,1047.7441216581358,1536.8545372973283,-668.0901893156408
Promo,non_promo,30105,4668.424414549078,4512.50227917887,0.15742589383362277,521.0860795369324,917.4270062632318,-155.92213537020893
StateHoliday,0,46830,6014.217979927397,5675.378682433819,0.15284470837532138,709.1782374373621,1176.6981695298007,-338.83929749357753
StoreType,d,14616,5990.031130268199,5597.19108540921,0.13927670680787835,703.3807151774778,1108.9229793996321,-392.8400448589893
StoreType,c,6216,5852.366151866152,5672.106052758297,0.14912521682748037,635.8429186409887,941.9834645417798,-180.26009910785498
StoreType,a,25284,5930.755853504193,5625.58712121172,0.15958052546124163,696.1516130526737,1197.342216905738,-305.1687322924731
StoreType,b,714,10873.941176470587,9067.622965507106,0.19337385983303068,1927.6013437835652,2673.8497215017155,-1806.318210963484
month,7,18955,6274.976417831706,5982.0025325344095,0.15205730916872454,716.6123482645734,1127.1732741327755,-292.9738852972963
month,6,27875,5836.902242152466,5466.874464365417,0.15340331284360229,704.1230420748583,1209.217059468059,-370.02777778704865
sales_quantile_bucket,closed_or_zero,6530,0.0,0.0,0.0,0.0,0.0,0.0
sales_quantile_bucket,"(5812.0, 7066.0]",8057,6404.460096810227,6231.871688858745,0.11834603239034129,598.1771441175454,759.2290196624383,-172.58840795148203
sales_quantile_bucket,"(7066.0, 8928.0]",8052,7911.698087431694,7419.638620062668,0.122000897982835,777.6032334613533,971.4662933541633,-492.059467369026
sales_quantile_bucket,"(4648.0, 5812.0]",8069,5241.06580741108,5287.471501255456,0.12488497409124198,497.1143569860976,654.5905685975391,46.40569384437589
sales_quantile_bucket,"(8928.0, 41551.0]",8059,11665.18178434049,10001.297952450737,0.16939487526728672,1778.9157975194055,2388.5998123387417,-1663.883831889752
sales_quantile_bucket,"(568.999, 4648.0]",8063,3725.690189755674,4038.1738298481328,0.20884572865531079,469.1236778464689,626.127692303279,312.48364009245904
